"timestamps","temperatures","humidities","pm25","pm10"
"2018-07-01 19:51:47.033128",28.600000381469727,46.5,11.4,12.7
"2018-07-01 19:51:57.057237",28.600000381469727,46.5,11.7,13.0
"2018-07-01 19:52:07.081318",28.600000381469727,46.5,11.3,12.5
"2018-07-01 19:52:17.102887",28.600000381469727,46.5,11.4,12.6
"2018-07-01 19:52:27.026983",28.600000381469727,46.400001525878906,11.1,12.2
"2018-07-01 19:52:37.049814",28.600000381469727,46.400001525878906,10.8,11.9
"2018-07-01 19:52:47.072648",28.600000381469727,46.5,10.8,12.0
"2018-07-01 19:52:57.098001",28.600000381469727,46.5,11.3,13.2
"2018-07-01 19:53:07.123340",28.600000381469727,46.400001525878906,11.3,13.1
"2018-07-01 19:53:19.651166",28.600000381469727,46.29999923706055,11.2,14.2
"2018-07-01 19:53:29.675289",28.600000381469727,46.29999923706055,10.7,12.1
"2018-07-01 19:53:37.094346",28.600000381469727,46.29999923706055,10.9,12.5
"2018-07-01 19:53:47.118437",28.700000762939453,46.400001525878906,10.9,12.1
"2018-07-01 19:53:57.141250",28.700000762939453,46.400001525878906,11.1,12.3
"2018-07-01 19:54:07.165334",28.700000762939453,46.400001525878906,11.1,12.4
"2018-07-01 19:54:17.189437",28.700000762939453,46.5,10.8,12.0
"2018-07-01 19:54:27.213849",28.700000762939453,46.70000076293945,10.7,11.9
"2018-07-01 19:54:37.238871",28.600000381469727,46.599998474121094,11.0,13.5
"2018-07-01 19:54:47.163007",28.600000381469727,46.599998474121094,10.9,12.7
"2018-07-01 19:54:57.188311",28.600000381469727,46.599998474121094,10.6,12.3
"2018-07-01 19:55:07.213648",28.600000381469727,46.599998474121094,10.4,11.5
"2018-07-01 19:55:17.238958",28.600000381469727,46.5,10.4,11.5
"2018-07-01 19:55:27.263083",28.600000381469727,46.5,10.5,11.7
"2018-07-01 19:55:37.288418",28.600000381469727,46.5,10.0,11.1
"2018-07-01 19:55:47.212486",28.5,46.400001525878906,10.0,11.0
"2018-07-01 19:55:57.236577",28.5,46.29999923706055,10.0,11.0
"2018-07-01 19:56:07.261924",28.5,46.29999923706055,9.9,10.9
"2018-07-01 19:56:17.286127",28.5,46.400001525878906,9.6,10.7
"2018-07-01 19:56:27.309082",28.399999618530273,46.29999923706055,9.8,10.9
"2018-07-01 19:56:37.333155",28.399999618530273,46.29999923706055,9.9,11.0
"2018-07-01 19:56:47.357225",28.399999618530273,46.400001525878906,10.0,11.0
"2018-07-01 19:56:57.277561",28.399999618530273,46.400001525878906,9.7,10.8
"2018-07-01 19:57:07.301661",28.399999618530273,46.400001525878906,9.3,10.3
"2018-07-01 19:57:17.326987",28.399999618530273,46.400001525878906,9.5,10.6
"2018-07-01 19:57:27.351064",28.299999237060547,46.29999923706055,9.2,10.3
"2018-07-01 19:57:37.376405",28.299999237060547,46.29999923706055,9.3,10.6
"2018-07-01 19:57:47.400491",28.299999237060547,46.29999923706055,9.3,10.3
"2018-07-01 19:57:57.324549",28.299999237060547,46.400001525878906,9.6,10.6
"2018-07-01 19:58:07.348618",28.200000762939453,46.29999923706055,9.4,10.3
"2018-07-01 19:58:17.373958",28.200000762939453,46.400001525878906,9.5,10.5
"2018-07-01 19:58:27.398217",28.200000762939453,46.29999923706055,9.3,10.2
"2018-07-01 19:58:37.423367",28.100000381469727,46.400001525878906,9.4,10.3
"2018-07-01 19:58:47.447667",28.100000381469727,46.400001525878906,9.2,10.1
"2018-07-01 19:58:57.371973",28.100000381469727,46.400001525878906,15.4,17.1
"2018-07-01 19:59:07.394807",28.100000381469727,46.5,91.3,105.1
"2018-07-01 19:59:17.418900",28.0,46.400001525878906,260.6,291.1
"2018-07-01 19:59:27.442942",28.0,46.5,422.9,470.5
"2018-07-01 19:59:37.466817",28.0,46.5,448.9,498.7
"2018-07-01 19:59:47.491898",28.0,46.5,406.4,452.8
"2018-07-01 19:59:57.517277",27.899999618530273,46.400001525878906,368.4,412.7
"2018-07-01 20:00:07.442616",27.899999618530273,46.5,369.7,414.3
"2018-07-01 20:00:17.466695",27.899999618530273,46.5,317.6,355.5
"2018-07-01 20:00:27.490767",27.899999618530273,46.400001525878906,252.4,282.8
"2018-07-01 20:00:37.514836",27.899999618530273,46.5,304.0,339.0
"2018-07-01 20:00:47.538928",27.899999618530273,46.5,354.8,395.5
"2018-07-01 20:00:57.563001",27.799999237060547,46.5,406.0,453.6
"2018-07-01 20:01:07.588339",27.799999237060547,46.400001525878906,378.4,425.1
"2018-07-01 20:01:17.513788",27.799999237060547,46.5,358.7,415.7
